id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude;regional;delegacia;uop
615972;21/07/2024;domingo;18:00:00;SE;235;2,9;ARACAJU;Pedestre cruzava a pista fora da faixa;Atropelamento de Pedestre;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;Não;2;0;0;1;0;1;1;2;-10,9059;-37,111;SPRF-SE;DEL01-SE;UOP01-DEL01-SE
615973;21/07/2024;domingo;17:20:00;PR;158;507;CORONEL VIVIDA;Reação tardia ou ineficiente do condutor;Colisão com objeto;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Simples;Curva;Não;1;0;0;0;1;0;0;1;-26,02180124;-52,57733183;SPRF-PR;DEL02-PR;UOP01-DEL02-PR
615974;21/07/2024;domingo;16:16:00;MG;381;790,5;SAO GONCALO DO SAPUCAI;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Fatais;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Não;3;1;0;0;2;0;0;2;-21,91423627;-45,57892692;SPRF-MG;DEL16-MG;UOP02-DEL16-MG
615976;21/07/2024;domingo;16:40:00;PR;277;236,6;IRATI;Transitar na contramão;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;4;0;3;0;1;0;3;2;-25,462122;-50,597265;SPRF-PR;DEL08-PR;UOP02-DEL08-PR
615978;17/07/2024;quarta-feira;17:50:00;RJ;101;318;SAO GONCALO;Acessar a via sem observar a presença dos outros veículos;Colisão lateral mesmo sentido;Com Vítimas Feridas;Anoitecer;Decrescente;Céu Claro;Dupla;Reta;Sim;2;0;2;0;0;0;2;2;-22,84562994;-43,09841211;SPRF-RJ;DEL02-RJ;UOP02-DEL02-RJ
615979;21/07/2024;domingo;18:10:00;RS;153;48,2;ERECHIM;Desrespeitar a preferência no cruzamento;Colisão transversal;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Interseção de Vias;Sim;5;0;3;0;2;0;3;2;-27,64842695;-52,25310087;SPRF-RS;DEL08-RS;UOP04-DEL08-RS
615980;21/07/2024;domingo;17:00:00;PR;163;1,3;BARRACAO;Ingestão de álcool pelo condutor;Engavetamento;Sem Vítimas;Anoitecer;Decrescente;Céu Claro;Simples;Reta;Não;3;0;0;0;3;0;0;3;-26,25066;-53,635523;SPRF-PR;DEL02-PR;UOP02-DEL02-PR
615981;21/07/2024;domingo;16:00:00;RO;364;342;JI-PARANA;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;"Interseção de Vias;Desvio Temporário;Reta";Sim;2;0;1;0;1;0;1;2;-10,88381227;-61,93741416;SPRF-RO;DEL02-RO;UOP01-DEL02-RO
615982;21/07/2024;domingo;17:45:00;SC;282;501,3;XANXERE;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;"Rotatória;Aclive";Sim;2;0;1;0;0;1;1;2;-26,88282304;-52,38149285;SPRF-SC;DEL07-SC;UOP01-DEL07-SC
615984;21/07/2024;domingo;18:05:00;BA;235;337,9;JUAZEIRO;Ingestão de álcool pelo condutor;Colisão traseira;Sem Vítimas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;2;0;0;0;2;0;0;2;-9,45395957;-40,40522212;SPRF-BA;DEL07-BA;UOP01-DEL07-BA
615986;21/07/2024;domingo;18:30:00;MG;50;175;UBERABA;Ausência de reação do condutor;Tombamento;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;"Aclive;Reta";Não;2;0;2;0;0;0;2;1;-19,77880359;-47,9695118;SPRF-MG;DEL13-MG;UOP01-DEL13-MG
615987;21/07/2024;domingo;17:25:00;RS;471;150;SANTA CRUZ DO SUL;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Anoitecer;Decrescente;Céu Claro;Simples;Retorno Regulamentado;Sim;4;0;1;0;3;0;1;2;-29,817495;-52,403397;SPRF-RS;DEL02-RS;UOP03-DEL02-RS
615988;21/07/2024;domingo;18:40:00;SC;282;71;RANCHO QUEIMADO;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;"Interseção de Vias;Declive;Curva";Não;3;0;1;0;2;0;1;2;-27,689093;-49,097748;SPRF-SC;DEL01-SC;UOP03-DEL01-SC
615989;21/07/2024;domingo;15:00:00;PI;316;308;PICOS;Acumulo de areia ou detritos sobre o pavimento;Colisão com objeto;Com Vítimas Fatais;Pleno dia;Crescente;Céu Claro;Simples;Reta;Sim;1;1;0;0;0;0;0;1;-7,07773683;-41,492757;SPRF-PI;DEL04-PI;UOP01-DEL04-PI
615991;21/07/2024;domingo;18:40:00;PR;277;586,4;CASCAVEL;Desrespeitar a preferência no cruzamento;Colisão transversal;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;3;0;1;0;2;0;1;2;-24,9666362;-53,4242177;SPRF-PR;DEL04-PR;UOP01-DEL04-PR
615992;21/07/2024;domingo;17:15:00;MG;116;783;LEOPOLDINA;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Anoitecer;Decrescente;Céu Claro;Simples;Interseção de Vias;Não;6;0;2;0;4;0;2;2;-21,63453389;-42,69665944;SPRF-MG;DEL07-MG;UOP01-DEL07-MG
615994;21/07/2024;domingo;17:40:00;MG;262;452;NOVA SERRANA;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Anoitecer;Crescente;Céu Claro;Simples;Aclive;Não;2;0;1;0;1;0;1;2;-19,85998384;-45,00696635;SPRF-MG;DEL08-MG;UOP03-DEL08-MG
615995;21/07/2024;domingo;19:10:00;ES;101;264,9;SERRA;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Dupla;Reta;Sim;3;0;1;0;1;1;1;2;-20,17292791;-40,26736384;SPRF-ES;DEL02-ES;UOP01-DEL02-ES
615997;21/07/2024;domingo;18:50:00;RJ;101;326;NITEROI;Demais falhas mecânicas ou elétricas;Tombamento;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;"Reta;Ponte";Sim;2;0;2;0;0;0;2;1;-22,871564;-43,1151746;SPRF-RJ;DEL02-RJ;UOP01-DEL02-RJ
615998;21/07/2024;domingo;13:35:00;RJ;116;94;GUAPIMIRIM;Ultrapassagem Indevida;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;"Declive;Reta";Não;3;0;1;0;2;0;1;2;-22,46643519;-43,00088701;SPRF-RJ;DEL04-RJ;UOP01-DEL04-RJ
615999;21/07/2024;domingo;16:30:00;RS;285;137,6;MUITOS CAPOES;Ultrapassagem Indevida;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;2;0;1;0;1;0;1;2;-28,410669;-51,044209;SPRF-RS;DEL05-RS;UOP03-DEL05-RS
616000;21/07/2024;domingo;18:20:00;MG;262;38;MANHUACU;Ausência de reação do condutor;Engavetamento;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;Reta;Sim;9;0;1;0;8;0;1;3;-20,26305859;-42,03684948;SPRF-MG;DEL06-MG;UOP03-DEL06-MG
